iter	RMSE
0	23405.37488
1	22280.21544
2	21324.47988
3	20593.38587
4	20047.66304
5	19429.91482
6	18910.1958
7	18584.40627
8	18271.30358
9	18040.11832
10	17821.86644
11	17653.09582
12	17405.38177
13	17237.58937
14	17101.38995
15	16931.49701
16	16824.51713
17	16703.05512
18	16602.54333
19	16460.28445
20	16348.17869
21	16246.51732
22	16119.55771
23	16004.28429
24	15929.68854
25	15819.37628
26	15774.3684
27	15714.72342
28	15638.88975
29	15551.71216
30	15495.64497
31	15403.6721
32	15323.81635
33	15277.02062
34	15221.27184
35	15161.51796
36	15118.18953
37	15066.54955
38	15027.85069
39	14951.26692
40	14920.03684
41	14855.71364
42	14804.2792
43	14736.72052
44	14667.83248
45	14620.89286
46	14584.84921
47	14564.5092
48	14539.96142
49	14481.99452
50	14440.74839
51	14412.63124
52	14373.56329
53	14346.16236
54	14261.53672
55	14171.47666
56	14076.44222
57	14044.63283
58	14016.66367
59	13972.24378
60	13927.19591
61	13873.28046
62	13827.63287
63	13785.59233
64	13757.85656
65	13717.62392
66	13691.8152
67	13655.99072
68	13608.80037
69	13549.59154
70	13515.07
71	13476.90314
72	13423.71623
73	13392.45788
74	13370.88767
75	13330.15631
76	13290.09367
77	13261.25266
78	13219.52781
79	13183.76679
80	13148.55151
81	13115.94857
82	13094.70721
83	13048.74419
84	13021.98578
85	12998.86452
86	12974.34091
87	12946.5634
88	12917.31542
89	12879.9362
90	12851.84223
91	12830.34162
92	12801.90645
93	12766.2501
94	12744.58446
95	12713.36153
96	12690.40516
97	12672.81095
98	12633.54562
99	12617.51312
100	12579.40416
101	12552.92462
102	12526.12301
103	12509.65934
104	12474.12479
105	12453.56691
106	12411.49371
107	12406.57748
108	12390.56061
109	12367.66361
110	12348.21867
111	12333.26847
112	12315.11279
113	12288.86527
114	12272.52932
115	12257.66894
116	12218.42713
117	12189.48944
118	12152.64296
119	12136.98604
120	12104.98456
121	12081.2964
122	12060.78385
123	12045.43499
124	12026.40085
125	12012.30745
126	11991.63337
127	11963.22048
128	11946.14505
129	11933.14756
130	11902.56526
131	11888.70357
132	11873.21379
133	11864.09679
134	11852.51293
135	11832.94937
136	11814.21607
137	11794.22753
138	11768.91091
139	11742.27911
140	11729.52094
141	11706.75534
142	11695.1105
143	11671.50614
144	11649.83846
145	11634.29448
146	11622.75977
147	11602.28397
148	11583.88078
149	11572.56148
150	11546.31406
151	11540.36918
152	11520.26259
153	11505.48518
154	11497.52771
155	11487.96359
156	11477.67311
157	11458.07349
158	11442.53257
159	11421.7561
160	11390.00167
161	11371.42546
162	11356.43074
163	11345.36775
164	11329.91786
165	11314.53929
166	11305.5753
167	11288.37837
168	11264.86291
169	11248.10442
170	11232.80319
171	11220.77865
172	11201.72132
173	11172.29922
174	11158.51457
175	11142.13986
176	11121.10121
177	11105.24618
178	11101.80658
179	11087.98042
180	11075.13056
181	11062.54869
182	11030.78489
183	11013.24284
184	10994.78971
185	10979.86594
186	10958.83494
187	10945.35672
188	10932.8659
189	10922.39139
190	10911.15024
191	10903.34039
192	10881.54906
193	10866.51555
194	10852.52032
195	10834.80218
196	10813.126
197	10802.53694
198	10784.18363
199	10772.47372
200	10760.41425
201	10740.6031
202	10733.53252
203	10721.98147
204	10706.75227
205	10696.45346
206	10682.94366
207	10671.41927
208	10649.05412
209	10636.72878
210	10627.60928
211	10616.52774
212	10613.55857
213	10606.17524
214	10595.45153
215	10583.68733
216	10571.01908
217	10558.16052
218	10548.9155
219	10526.58949
220	10520.55781
221	10514.56248
222	10506.70772
223	10497.21546
224	10476.93593
225	10463.77824
226	10455.04377
227	10445.48894
228	10436.57283
229	10429.52169
230	10420.12589
231	10412.25639
232	10405.23109
233	10397.04263
234	10390.87003
235	10375.40911
236	10362.47972
237	10351.19326
238	10336.76741
239	10326.912
240	10317.08828
241	10302.74925
242	10278.21168
243	10258.4725
244	10243.79679
245	10229.83346
246	10223.13499
247	10211.40967
248	10191.54036
249	10175.36193
250	10158.51428
251	10142.18571
252	10123.41214
253	10113.12548
254	10102.44832
255	10082.65922
256	10066.82133
257	10056.90876
258	10043.55859
259	10031.71574
260	10022.4741
261	10011.01329
262	9995.839406
263	9985.036468
264	9978.783673
265	9966.27491
266	9949.065454
267	9935.386379
268	9926.495649
269	9907.112865
270	9892.01287
271	9880.425295
272	9873.151458
273	9859.982223
274	9847.507703
275	9840.605675
276	9822.968581
277	9810.833842
278	9801.048469
279	9791.636504
280	9785.034054
281	9780.547616
282	9768.214421
283	9756.710565
284	9750.27871
285	9739.602327
286	9732.337652
287	9721.855933
288	9715.805439
289	9702.443879
290	9692.293061
291	9685.215129
292	9677.182205
293	9669.916312
294	9662.16994
295	9653.866182
296	9646.433362
297	9631.698796
298	9622.152876
299	9616.2306
300	9606.348881
301	9594.551281
302	9585.196877
303	9565.804397
304	9555.533761
305	9548.578921
306	9541.812831
307	9537.338246
308	9531.612644
309	9528.491697
310	9525.281747
311	9522.623765
312	9515.207981
313	9507.949776
314	9498.976952
315	9490.226133
316	9475.845572
317	9471.890679
318	9465.45329
319	9457.247959
320	9441.309771
321	9434.322437
322	9426.644528
323	9419.604286
324	9411.581311
325	9402.435952
326	9391.358735
327	9378.587481
328	9375.113776
329	9361.068934
330	9353.726052
331	9343.85657
332	9328.282717
333	9320.997682
334	9313.337247
335	9306.479553
336	9298.260806
337	9293.279532
338	9284.691123
339	9271.167062
340	9264.057595
341	9256.307193
342	9250.42372
343	9236.958818
344	9225.852798
345	9219.988396
346	9209.549085
347	9204.942716
348	9192.884849
349	9188.746815
350	9183.04991
351	9174.414579
352	9162.837156
353	9156.372825
354	9145.759286
355	9139.620867
356	9136.188052
357	9121.329008
358	9109.862943
359	9101.831359
360	9096.534104
361	9084.771776
362	9079.492768
363	9070.044283
364	9061.972532
365	9054.49249
366	9047.006123
367	9042.073946
368	9025.310757
369	9011.198303
370	8999.047882
371	8986.529529
372	8977.204106
373	8974.315767
374	8963.675278
375	8953.219125
376	8946.149501
377	8937.325842
378	8933.31701
379	8926.124149
380	8919.288397
381	8913.311612
382	8905.093218
383	8897.51329
384	8888.476657
385	8879.313878
386	8870.601395
387	8864.839328
388	8854.207601
389	8842.861024
390	8825.307568
391	8820.04961
392	8812.197495
393	8807.230704
394	8795.967192
395	8791.547134
396	8786.100618
397	8775.364641
398	8769.140812
399	8758.833916
400	8749.623882
401	8736.426428
402	8724.661765
403	8718.119557
404	8710.771807
405	8700.266543
406	8694.167949
407	8687.434852
408	8682.800533
409	8678.77407
410	8671.391761
411	8663.803613
412	8652.698467
413	8650.116416
414	8644.223406
415	8638.221085
416	8626.647277
417	8621.372512
418	8609.455482
419	8605.238345
420	8598.405603
421	8584.291991
422	8577.404685
423	8573.064717
424	8567.238186
425	8561.95219
426	8552.281953
427	8545.215132
428	8539.904554
429	8533.985671
430	8526.507774
431	8517.654168
432	8509.911811
433	8503.975413
434	8491.883536
435	8486.861631
436	8478.578711
437	8472.057415
438	8469.280219
439	8463.068932
440	8459.636
441	8451.091372
442	8446.119186
443	8433.868133
444	8426.55843
445	8424.848294
446	8412.899649
447	8407.050446
448	8400.781868
449	8391.394923
450	8383.11609
451	8376.510836
452	8369.272707
453	8363.908893
454	8358.352133
455	8348.823874
456	8344.175726
457	8337.581482
458	8331.004323
459	8324.820046
460	8317.422794
461	8309.717684
462	8305.135652
463	8296.665404
464	8286.961579
465	8282.213899
466	8272.820211
467	8265.610453
468	8254.69319
469	8251.287315
470	8246.652773
471	8244.68934
472	8235.356237
473	8228.127327
474	8216.581234
475	8213.595716
476	8206.740674
477	8202.053105
478	8196.22952
479	8190.422653
480	8185.925418
481	8178.628233
482	8164.937405
483	8159.492597
484	8155.740498
485	8151.50122
486	8146.287047
487	8140.956178
488	8136.407005
489	8125.909978
490	8116.439514
491	8107.621084
492	8098.283074
493	8092.378568
494	8081.623798
495	8071.087201
496	8061.970735
497	8059.848479
498	8051.500166
499	8042.197385
500	8035.581717
501	8033.051872
502	8031.288326
503	8024.869979
504	8020.64658
505	8013.42771
506	8010.333535
507	8004.499724
508	7997.454775
509	7995.595442
510	7989.119866
511	7976.414742
512	7972.552977
513	7965.530874
514	7959.566018
515	7955.228319
516	7950.371769
517	7944.375757
518	7937.75908
519	7931.752516
520	7923.204408
521	7915.671592
522	7906.529869
523	7897.170297
524	7887.141135
525	7876.974221
526	7867.079969
527	7861.310201
528	7856.881277
529	7851.624207
530	7842.309442
531	7837.467955
532	7831.699121
533	7819.768239
534	7813.271794
535	7810.250819
536	7803.605656
537	7793.618306
538	7788.266054
539	7780.694289
540	7770.282758
541	7767.381109
542	7761.920518
543	7758.737254
544	7752.426373
545	7748.645473
546	7743.807699
547	7739.947544
548	7735.336497
549	7728.862053
550	7721.387872
551	7713.606964
552	7709.536363
553	7702.27673
554	7694.416529
555	7690.380442
556	7685.957817
557	7682.753684
558	7675.526909
559	7669.993214
560	7657.812528
561	7650.558734
562	7647.096583
563	7636.891617
564	7625.594411
565	7608.22264
566	7602.985449
567	7595.499249
568	7585.735206
569	7580.125745
570	7576.12851
571	7568.881237
572	7560.741367
573	7553.300226
574	7549.007366
575	7546.153848
576	7541.058306
577	7535.676095
578	7530.201705
579	7526.740015
580	7519.16926
581	7514.080995
582	7511.495802
583	7506.700002
584	7501.786219
585	7495.517818
586	7490.724127
587	7487.964058
588	7482.688011
589	7477.082133
590	7474.54293
591	7469.41656
592	7462.677579
593	7460.150448
594	7457.582552
595	7451.160384
596	7448.343705
597	7442.816033
598	7438.489372
599	7436.511987
600	7429.341781
601	7426.790557
602	7422.601153
603	7419.81154
604	7411.073049
605	7405.714771
606	7402.675567
607	7397.95914
608	7393.506498
609	7384.949466
610	7379.549335
611	7374.679115
612	7371.443439
613	7367.602517
614	7361.011955
615	7356.66392
616	7349.401622
617	7343.946482
618	7338.895007
619	7334.195151
620	7329.867686
621	7324.226415
622	7322.114878
623	7315.439527
624	7311.202014
625	7306.930896
626	7298.648889
627	7295.536422
628	7287.845741
629	7283.929477
630	7277.960112
631	7272.994539
632	7262.601983
633	7261.318608
634	7255.757394
635	7252.38781
636	7250.52653
637	7248.606996
638	7244.593377
639	7240.318207
640	7235.599101
641	7230.365091
642	7223.521519
643	7220.710081
