iter	Passed	Remaining
0	2	2449
1	4	2392
2	7	2401
3	9	2342
4	11	2324
5	14	2337
6	16	2319
7	18	2310
8	20	2308
9	23	2298
10	25	2306
11	27	2305
12	30	2306
13	32	2304
14	35	2314
15	37	2305
16	39	2297
17	41	2286
18	44	2281
19	46	2273
20	48	2258
21	50	2250
22	52	2246
23	55	2243
24	57	2237
25	59	2228
26	61	2226
27	63	2220
28	66	2219
29	68	2218
30	70	2217
31	73	2214
32	75	2217
33	78	2220
34	80	2215
35	82	2210
36	84	2202
37	86	2196
38	88	2188
39	90	2178
40	92	2170
41	94	2164
42	97	2161
43	99	2157
44	101	2148
45	103	2139
46	105	2132
47	107	2124
48	109	2116
49	110	2108
50	112	2102
51	115	2097
52	117	2090
53	118	2082
54	121	2079
55	123	2078
56	125	2074
57	127	2071
58	129	2068
59	131	2062
60	133	2061
61	136	2058
62	138	2054
63	140	2050
64	142	2046
65	144	2042
66	146	2039
67	148	2035
68	150	2035
69	153	2035
70	155	2033
71	157	2031
72	159	2029
73	162	2028
74	164	2029
75	166	2025
76	168	2023
77	170	2021
78	173	2018
79	175	2016
80	177	2013
81	179	2010
82	181	2008
83	184	2009
84	186	2009
85	188	2005
86	190	2001
87	192	1997
88	194	1994
89	197	1992
90	199	1990
91	201	1987
92	203	1987
93	205	1983
94	207	1980
95	209	1975
96	211	1971
97	213	1967
98	215	1964
99	217	1960
100	220	1958
101	222	1956
102	224	1954
103	226	1951
104	228	1948
105	230	1944
106	232	1940
107	234	1937
108	236	1934
109	238	1931
110	241	1930
111	243	1927
112	245	1924
113	247	1921
114	249	1919
115	251	1917
116	253	1914
117	255	1911
118	257	1909
119	260	1907
120	262	1904
121	264	1902
122	266	1902
123	268	1899
124	271	1898
125	273	1897
126	275	1895
127	277	1892
128	279	1889
129	281	1886
130	283	1883
131	286	1880
132	288	1878
133	290	1876
134	292	1874
135	294	1871
136	296	1868
137	298	1866
138	300	1864
139	303	1861
140	305	1858
141	307	1856
142	309	1855
143	311	1853
144	314	1852
145	316	1850
146	318	1847
147	320	1844
148	322	1842
149	324	1839
150	326	1836
151	328	1833
152	330	1831
153	332	1828
154	334	1825
155	336	1822
156	338	1819
157	341	1817
158	343	1815
159	345	1813
160	347	1812
161	350	1811
162	352	1810
163	355	1810
164	357	1808
165	359	1805
166	361	1803
167	363	1802
168	366	1800
169	368	1798
170	370	1797
171	372	1795
172	375	1793
173	377	1791
174	379	1789
175	381	1787
176	383	1785
177	386	1783
178	388	1782
179	390	1780
180	393	1779
181	395	1777
182	397	1775
183	399	1773
184	401	1770
185	404	1769
186	406	1768
187	408	1766
188	411	1764
189	413	1761
190	415	1759
191	417	1755
192	419	1752
193	421	1749
194	423	1747
195	425	1744
196	427	1743
197	429	1740
198	431	1738
199	434	1736
200	436	1734
201	438	1733
202	441	1732
203	443	1730
204	445	1727
205	447	1725
206	449	1723
207	452	1721
208	454	1720
209	456	1718
210	459	1717
211	461	1716
212	463	1714
213	466	1711
214	468	1708
215	470	1706
216	472	1704
217	474	1702
218	476	1700
219	479	1699
220	481	1697
221	483	1694
222	485	1692
223	487	1690
224	490	1688
225	492	1685
226	494	1683
227	496	1680
228	498	1678
229	500	1677
230	503	1674
231	505	1672
232	507	1669
233	509	1667
234	511	1665
235	513	1662
236	515	1660
237	518	1658
238	520	1656
239	522	1654
240	524	1652
241	526	1650
242	529	1649
243	531	1647
244	533	1645
245	536	1642
246	538	1640
247	540	1638
248	542	1635
249	544	1632
250	546	1630
251	548	1628
252	550	1626
253	552	1623
254	555	1621
255	557	1619
256	559	1617
257	561	1614
258	563	1612
259	565	1609
260	567	1606
261	569	1604
262	571	1601
263	573	1599
264	575	1597
265	577	1594
266	579	1592
267	582	1589
268	584	1587
269	586	1585
270	588	1583
271	590	1580
272	592	1577
273	594	1575
274	596	1572
275	598	1570
276	600	1568
277	602	1565
278	604	1563
279	606	1560
280	608	1557
281	610	1555
282	612	1552
283	615	1550
284	617	1548
285	619	1546
286	621	1544
287	624	1542
288	626	1540
289	628	1538
290	630	1536
291	632	1534
292	635	1533
293	637	1531
294	639	1529
295	642	1527
296	644	1525
297	646	1522
298	648	1520
299	650	1518
300	652	1515
301	654	1513
302	656	1510
303	658	1508
304	660	1505
305	662	1503
306	664	1500
307	667	1498
308	669	1496
309	671	1493
310	673	1491
311	675	1489
312	677	1486
313	679	1484
314	681	1482
315	683	1479
316	685	1477
317	687	1475
318	690	1473
319	692	1470
320	694	1468
321	696	1466
322	698	1464
323	701	1463
324	703	1461
325	705	1459
326	707	1456
327	709	1454
328	712	1452
329	714	1449
330	716	1448
331	718	1446
332	720	1444
333	723	1441
334	725	1440
335	727	1437
336	729	1435
337	732	1434
338	734	1432
339	736	1430
340	739	1428
341	741	1426
342	743	1424
343	746	1422
344	748	1421
345	750	1419
346	753	1417
347	755	1415
348	757	1413
349	760	1411
350	762	1409
351	764	1407
352	766	1405
353	768	1403
354	771	1401
355	773	1399
356	775	1396
357	777	1394
358	779	1392
359	781	1390
360	783	1387
361	786	1385
362	788	1383
363	790	1380
364	792	1378
365	794	1376
366	796	1374
367	798	1371
