District,Size,Floor,Year,配套成熟,环境优美,繁华地段,安全性高,交通便利,品质小区,Price
pudong,89.2,1,2011,False,True,False,False,False,True,54933
pudong,106.74,2,2010,False,False,False,False,False,False,63332
pudong,37.88,1,1985,False,False,False,False,False,False,84478
pudong,84.5,3,2006,False,False,True,True,False,False,58580
pudong,62.44,3,1999,False,False,False,False,False,False,66464
pudong,84.84,1,2016,False,False,False,False,False,False,57521
pudong,95.8,2,2006,False,True,False,False,False,True,112213
pudong,48.28,3,1996,True,False,True,False,False,False,57788
pudong,69.19,2,1998,False,False,False,False,False,False,67929
pudong,127.08,2,2007,True,False,False,False,True,False,78691
pudong,74.31,1,1999,False,False,True,False,True,False,59952
pudong,35,2,1997,True,False,True,False,False,False,59715
pudong,92.01,2,2011,False,False,True,False,True,False,53582
pudong,142.26,2,2007,True,False,True,False,False,False,79433
pudong,40,1,1999,True,False,True,False,False,False,54000
pudong,58.74,3,2000,True,False,False,False,False,False,55329
pudong,138.92,2,2007,False,False,True,False,False,True,110136
pudong,135.88,1,2005,True,False,False,True,False,True,86032
pudong,98.42,3,1998,False,False,False,False,False,False,55883
pudong,84.72,2,2003,False,False,False,False,False,False,59609
pudong,56.58,3,2013,False,False,True,False,True,False,47367
pudong,46.77,1,1996,False,False,False,False,False,False,62006
pudong,118.83,3,2003,False,False,False,False,False,True,94253
pudong,116.19,1,2008,False,False,True,False,False,True,111886
pudong,33.59,3,1996,True,False,True,False,False,False,61924
pudong,103.84,2,2018,True,False,True,False,False,False,34669
pudong,117.36,3,1998,True,True,True,False,False,False,80011
pudong,97.99,1,2007,False,False,False,False,False,False,47965
pudong,69.06,2,2009,False,False,True,False,False,True,40255
pudong,70.96,2,2004,True,False,False,False,False,False,60598
pudong,91.22,1,2017,False,False,False,False,False,False,40452
pudong,75.43,3,2010,True,False,True,False,False,True,58333
pudong,139.84,2,1998,False,False,False,False,False,False,54920
pudong,90.04,2,2010,False,False,False,False,False,False,66526
pudong,79.47,3,2011,True,False,False,False,False,True,39261
pudong,48.43,1,2016,False,False,True,False,False,True,33451
pudong,47.42,2,1985,True,True,False,False,False,False,106496
pudong,73.9,3,2014,True,False,False,False,False,False,37925
pudong,82.96,3,2017,False,False,False,False,False,False,37127
pudong,99.83,1,2008,False,False,False,False,False,False,49084
pudong,122.48,1,2006,False,True,True,False,False,True,63684
pudong,103.84,1,2006,False,False,False,False,False,False,35632
pudong,78.4,2,2008,False,False,False,False,False,True,59949
pudong,87.28,2,2010,True,False,False,False,True,False,49496
pudong,77.49,2,2010,False,True,False,False,False,False,51620
pudong,78.89,2,2007,False,False,True,False,False,False,69845
pudong,91.52,2,2006,False,False,True,True,False,True,74848
pudong,63.76,1,1998,False,False,False,False,False,False,56462
pudong,33.31,1,1998,True,False,False,False,False,False,60643
pudong,77.26,2,2010,False,False,False,False,False,False,56304
pudong,43.91,3,2016,True,False,False,False,False,True,52380
pudong,60.56,2,1993,True,False,False,False,False,True,52841
pudong,75.58,1,2013,True,False,False,False,False,True,52660
pudong,74.68,2,2007,False,True,False,False,False,True,46198
pudong,89.33,2,2010,True,False,False,False,False,True,92355
pudong,39.89,3,1995,True,False,False,False,True,True,52645
pudong,98.05,2,2001,False,False,False,False,False,False,110148
pudong,65.01,3,2003,True,False,False,False,False,False,82757
pudong,77,3,2017,False,False,False,False,False,True,40260
pudong,95.8,2,2006,False,True,False,False,False,True,112213
pudong,116.4,3,2001,True,False,False,False,True,False,68729
pudong,54.21,3,2011,True,False,False,False,False,True,49807
pudong,65,1,1998,True,False,False,False,False,True,53847
pudong,60.51,3,1996,True,False,False,False,False,False,54537
pudong,139.84,3,1998,False,False,False,False,False,False,60784
pudong,60.66,2,1995,False,False,False,False,False,False,87702
pudong,50.82,2,1998,False,False,False,False,False,False,96419
pudong,105.8,1,2016,False,False,True,False,False,True,69755
pudong,63.9,1,2008,False,False,True,False,True,True,54774
pudong,92.7,2,2002,True,False,True,False,False,False,82848
pudong,79.69,2,2003,True,False,False,False,False,True,81567
pudong,47.18,1,2001,True,False,False,False,True,True,50870
pudong,88.76,3,2015,False,False,False,False,True,False,31997
pudong,55.91,1,1999,True,True,False,False,False,False,50081
pudong,113.43,1,2011,False,False,False,False,False,False,40113
pudong,99.88,1,2000,True,False,True,False,False,False,81098
